ds,y
2022-01-01,10514
2022-01-02,38262
2022-01-03,46017
2022-01-04,43662
2022-01-05,42357
2022-01-06,40904
2022-01-07,47064
2022-01-08,47588
2022-01-09,35807
2022-01-10,42520
2022-01-11,39863
2022-01-12,40374
2022-01-13,40232
2022-01-14,43361
2022-01-15,44551
2022-01-16,35897
2022-01-17,42491
2022-01-18,40503
2022-01-19,39399
2022-01-20,40349
2022-01-21,43139
2022-01-22,48848
2022-01-23,36602
2022-01-24,38524
2022-01-25,38222
2022-01-26,38742
2022-01-27,38887
2022-01-28,43117
2022-01-29,52282
2022-01-30,38898
2022-01-31,39506
2022-02-01,39660
2022-02-02,39492
2022-02-03,39266
2022-02-04,46115
2022-02-05,51492
2022-02-06,41670
2022-02-07,40432
2022-02-08,39191
2022-02-09,38865
2022-02-10,40960
2022-02-11,47627
2022-02-12,53353
2022-02-13,40520
2022-02-14,38998
2022-02-15,37109
2022-02-16,38478
2022-02-17,39473
2022-02-18,46373
2022-02-19,51469
2022-02-20,41807
2022-02-21,37131
2022-02-22,37642
2022-02-23,38225
2022-02-24,39144
2022-02-25,43428
2022-02-26,44280
2022-02-27,31911
2022-02-28,45388
2022-03-01,43405
2022-03-02,40085
2022-03-03,39891
2022-03-04,49215
2022-03-05,59795
2022-03-06,48092
2022-03-07,42135
2022-03-08,41222
2022-03-09,39281
2022-03-10,42568
2022-03-11,44007
2022-03-12,58568
2022-03-13,43191
2022-03-14,38996
2022-03-15,38930
2022-03-16,37853
2022-03-17,42018
2022-03-18,47518
2022-03-19,53862
2022-03-20,40873
2022-03-21,39235
2022-03-22,37396
2022-03-23,39577
2022-03-24,45740
2022-03-25,46782
2022-03-26,49846
2022-03-27,38297
2022-03-28,32889
2022-03-29,31424
2022-03-30,39517
2022-03-31,40224
2022-04-01,49302
2022-04-02,59734
2022-04-03,43956
2022-04-04,39304
2022-04-05,40049
2022-04-06,43592
2022-04-07,41563
2022-04-08,48246
2022-04-09,58960
2022-04-10,43424
2022-04-11,38905
2022-04-12,42263
2022-04-13,45941
2022-04-14,50491
2022-04-15,19587
2022-04-16,53083
2022-04-17,34390
2022-04-18,39391
2022-04-19,38667
2022-04-20,41545
2022-04-21,45102
2022-04-22,46561
2022-04-23,51438
2022-04-24,40975
2022-04-25,37226
2022-04-26,37339
2022-04-27,38897
2022-04-28,42175
2022-04-29,48418
2022-04-30,56529
2022-05-01,26688
2022-05-02,44475
2022-05-03,42072
2022-05-04,48508
2022-05-05,48852
2022-05-06,58380
2022-05-07,69526
2022-05-08,43697
2022-05-09,45599
2022-05-10,41887
2022-05-11,41178
2022-05-12,42123
2022-05-13,48824
2022-05-14,56220
2022-05-15,41659
2022-05-16,40346
2022-05-17,36467
2022-05-18,40691
2022-05-19,41072
2022-05-20,47855
2022-05-21,53329
2022-05-22,38218
2022-05-23,37979
2022-05-24,35949
2022-05-25,38462
2022-05-26,39101
2022-05-27,46104
2022-05-28,52615
2022-05-29,40553
2022-05-30,39145
2022-05-31,39193
2022-06-01,40631
2022-06-02,44920
2022-06-03,51118
2022-06-04,57919
2022-06-05,42773
2022-06-06,43253
2022-06-07,42738
2022-06-08,44972
2022-06-09,45637
2022-06-10,53483
2022-06-11,58363
2022-06-12,48366
2022-06-13,42115
2022-06-14,40594
2022-06-15,44502
2022-06-16,42944
2022-06-17,47313
2022-06-18,49702
2022-06-19,38132
2022-06-20,41227
2022-06-21,41859
2022-06-22,41895
2022-06-23,44736
2022-06-24,46430
2022-06-25,48077
2022-06-26,36969
2022-06-27,37923
2022-06-28,40527
2022-06-29,42204
2022-06-30,44761
2022-07-01,54819
2022-07-02,56972
2022-07-03,42085
2022-07-04,46349
2022-07-05,47122
2022-07-06,49394
2022-07-07,46996
2022-07-08,52257
2022-07-09,52680
2022-07-10,40611
2022-07-11,50819
2022-07-12,44810
2022-07-13,44322
2022-07-14,46947
2022-07-15,51823
2022-07-16,51971
2022-07-17,41938
2022-07-18,49082
2022-07-19,48387
2022-07-20,48960
2022-07-21,48905
2022-07-22,52069
2022-07-23,50693
2022-07-24,38529
2022-07-25,48785
2022-07-26,47417
2022-07-27,49184
2022-07-28,48315
2022-07-29,55066
2022-07-30,58619
2022-07-31,46187
2022-08-01,43688
2022-08-02,38254
2022-08-03,40939
2022-08-04,41831
2022-08-05,50248
2022-08-06,55534
2022-08-07,42245
2022-08-08,40485
2022-08-09,40035
2022-08-10,42594
2022-08-11,46459
2022-08-12,54553
2022-08-13,56897
2022-08-14,34241
2022-08-15,37283
2022-08-16,37019
2022-08-17,37992
2022-08-18,39638
2022-08-19,47021
2022-08-20,51387
2022-08-21,36478
2022-08-22,36740
2022-08-23,37907
2022-08-24,38116
2022-08-25,40284
2022-08-26,46013
2022-08-27,50393
2022-08-28,36913
2022-08-29,36666
2022-08-30,36368
2022-08-31,38405
2022-09-01,41108
2022-09-02,47891
2022-09-03,54010
2022-09-04,39778
2022-09-05,39307
2022-09-06,43385
2022-09-07,42226
2022-09-08,40726
2022-09-09,48862
2022-09-10,52935
2022-09-11,42068
2022-09-12,37656
2022-09-13,38431
2022-09-14,39877
2022-09-15,43376
2022-09-16,48700
2022-09-17,57795
2022-09-18,42458
2022-09-19,38487
2022-09-20,40572
2022-09-21,43340
2022-09-22,41058
2022-09-23,48720
2022-09-24,54759
2022-09-25,42581
2022-09-26,24632
2022-09-27,40729
2022-09-28,39682
2022-09-29,41204
2022-09-30,46860
2022-10-01,53885
2022-10-02,19596
2022-10-03,39010
2022-10-04,41008
2022-10-05,43560
2022-10-06,45211
2022-10-07,51743
2022-10-08,59063
2022-10-09,46028
2022-10-10,42535
2022-10-11,47970
2022-10-12,64358
2022-10-13,42556
2022-10-14,50027
2022-10-15,55840
2022-10-16,41747
2022-10-17,39508
2022-10-18,38827
2022-10-19,39425
2022-10-20,40922
2022-10-21,49211
2022-10-22,58788
2022-10-23,42999
2022-10-24,39443
2022-10-25,38652
2022-10-26,41229
2022-10-27,40412
2022-10-28,47053
2022-10-29,50981
2022-10-30,16048
2022-10-31,39343
2022-11-01,42714
2022-11-02,42988
2022-11-03,42284
2022-11-04,48087
2022-11-05,55069
2022-11-06,51550
2022-11-07,44247
2022-11-08,40861
2022-11-09,44133
2022-11-10,44460
2022-11-11,56415
